Name,BirthYear,Country,Position,Difficulty,CareerPath
Lionel Messi,1987,Argentina,Forward,Easy,Barcelona → Paris SG → Inter Miami
Cristiano Ronaldo,1985,Portugal,Forward,Easy,Manchester United → Real Madrid → Juventus → Manchester United → Al Nassr
Neymar Jr.,1992,Brazil,Forward,Easy,Santos → Barcelona → Paris SG → Al Hilal
Kylian Mbappé,1998,France,Forward,Easy,AS Monaco → Paris Saint-Germain → Real Madrid
Robert Lewandowski,1988,Poland,Striker,Easy,Borussia Dortmund → Bayern Munich → Barcelona
Kevin De Bruyne,1991,Belgium,Midfielder,Easy,Chelsea → Wolfsburg → Manchester City
Mohamed Salah,1992,Egypt,Winger,Easy,Chelsea → Fiorentina → Roma → Liverpool
Karim Benzema,1987,France,Striker,Easy,Lyon → Real Madrid → Al Ittihad
Harry Kane,1993,England,Striker,Easy,Tottenham → Bayern Munich
Luka Modrić,1985,Croatia,Midfielder,Easy,Tottenham → Real Madrid
Erling Haaland,2000,Norway,Striker,Easy,Molde → RB Salzburg → Borussia Dortmund → Manchester City
Virgil van Dijk,1991,Netherlands,Defender,Easy,Celtic → Southampton → Liverpool
Alisson Becker,1992,Brazil,Goalkeeper,Easy,Roma → Liverpool
Thibaut Courtois,1992,Belgium,Goalkeeper,Easy,Atlético Madrid → Chelsea → Real Madrid
Toni Kroos,1990,Germany,Midfielder,Easy,Bayern Munich → Real Madrid
Joshua Kimmich,1995,Germany,Midfielder,Medium,Leipzig → Bayern Munich
Marquinhos,1994,Brazil,Defender,Medium,Roma → Paris SG
Bernardo Silva,1994,Portugal,Midfielder,Medium,Monaco → Manchester City
Sadio Mané,1992,Senegal,Forward,Medium,Southampton → Liverpool → Bayern Munich → Al Nassr
Heung-min Son,1992,South Korea,Forward,Medium,Bayer Leverkusen → Tottenham
Bruno Fernandes,1994,Portugal,Midfielder,Medium,Sporting CP → Manchester United
Frenkie de Jong,1997,Netherlands,Midfielder,Medium,Ajax → Barcelona
Lautaro Martínez,1997,Argentina,Striker,Medium,Racing Club → Inter Milan
Julián Álvarez,2000,Argentina,Striker,Medium,River Plate → Manchester City
Darwin Núñez,1999,Uruguay,Striker,Medium,Benfica → Liverpool
Christopher Nkunku,1997,France,Forward,Medium,Paris SG → RB Leipzig → Chelsea
Rúben Dias,1997,Portugal,Defender,Medium,Benfica → Manchester City
Vinícius Júnior,2000,Brazil,Winger,Easy,Flamengo → Real Madrid
Rodrygo,2001,Brazil,Winger,Easy,Santos → Real Madrid
Pedri,2002,Spain,Midfielder,Easy,Las Palmas → Barcelona
Jude Bellingham,2003,England,Midfielder,Easy,Birmingham City → Borussia Dortmund → Real Madrid
Bukayo Saka,2001,England,Winger,Easy,Arsenal
Phil Foden,2000,England,Midfielder,Easy,Manchester City
Jamal Musiala,2003,Germany,Midfielder,Easy,Chelsea academy → Bayern Munich
